Address,Suburb,Property number,Zone,Size (square m),Lot #,Year,Property Value,Last sale,Land Value,Property value source ,Land Value source,Correlation Coefficient
"89 DUNLOP ST, EPPING NSW 2121",Epping,818947,R2 - Low Density Residential,796.7,,2019,2200000.00,"1,330,000.00",1210000.00,https://www.realestate.com.au/sold/property-house-nsw-epping-122352242,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s5,0.929732256
87 DUNLOP STREET EPPING,Epping,818946,R2 - Low Density Residential,796.7,,2019,2050000.00,"1,330,000.00",1210000.00,https://www.realestate.com.au/property/87-dunlop-st-epping-nsw-2121?source=property-search-p4ep,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s2,
91 DUNLOP STREET EPPING,Epping,818948,R2 - Low Density Residential,796.7,,2019,2000000.00,,1210000.00,https://www.realestate.com.au/property/91-dunlop-st-epping-nsw-2121?source=property-search-p4ep,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s3,
"54 PAYTEN ST,  KOGARAH BAY NSW 2217",Kogarah Bay,1500927,R2 - Low Density Residential,650.29,,2019,2050000.00,"1,500,000.00",1140000.00,https://www.realestate.com.au/property/54-payten-st-kogarah-bay-nsw-2217,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s2,
"56 PAYTEN ST,  KOGARAH BAY NSW 2217",Kogarah Bay,1500926,R2 - Low Density Residential,650.29,,2019,1700000.00,"710,000.00",1140000.00,https://www.realestate.com.au/property/56-payten-st-kogarah-bay-nsw-2217?source=property-search-p4ep,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s3,
"22 VAUDAN ST,  KOGARAH BAY NSW 2217",Kogarah Bay,1506462,R2 - Low Density Residential,1087.5,,2019,2900000.00,"2,900,000.00",1920000.00,https://www.realestate.com.au/property/22-vaudan-st-kogarah-bay-nsw-2217?source=property-search-p4ep,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s4,
"20 VAUDAN ST,  KOGARAH BAY NSW 2217",Kogarah Bay,1506461,R2 - Low Density Residential,720.8,,2019,3350000.00,"1,215,000.00",1520000.00,https://www.realestate.com.au/property/20-vaudan-st-kogarah-bay-nsw-2217?source=property-search-hp,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e2s3,
21 SEGENHOE STREET ARNCLIFFE,Arncliffe,1539937,Medium Density Residential,366.7,,2019,1400000.00,"1,750,000.00",828000.00,https://www.realestate.com.au/property/21-segenhoe-st-arncliffe-nsw-2205?source=property-search-p4ep,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s4,
44 SEGENHOE STREET ARNCLIFFE,Arncliffe,1539913,Medium Density Residential,445.76,,2019,1700000.00,NA,777000.00,https://www.realestate.com.au/property/44-segenhoe-st-arncliffe-nsw-2205?source=property-search-p4ep,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s7,
46 SEGENHOE STREET ARNCLIFFE,Arncliffe,1539914,Medium Density Residential,445.76,,2019,1600000.00,NA,777000.00,https://www.realestate.com.au/property/46-segenhoe-st-arncliffe-nsw-2205?source=property-search-p4ep,https://www.valuergeneral.nsw.gov.au/services/lvs.htm?execution=e1s8,
